STUDENT ID,Student_Age,Sex,Graduated High-School Type,Scholarship Type,Additional Work,Sports Activity,Transportation,Weekly Study Hours,Attendance,Reading,Notes,Listening in Class,Project Work,Grade
S01253,24,Male,Private,Need-based,No,No,Walk,13,69.32,59,60,73,Yes,16
S01254,18,Female,Specialized,Athletic,No,No,Bus,10,81.72,70,38,23,No,12
S01255,21,Male,Specialized,Need-based,No,No,Bike,37,76.07,30,83,40,No,23
S01256,18,Male,Private,Need-based,No,No,Other,27,96.43,86,17,32,No,99
S01257,22,Female,Private,Athletic,No,Yes,Bus,22,78.23,12,96,33,No,62
S01258,19,Male,Private,Athletic,No,No,Walk,17,92.85,44,58,58,Yes,11
S01259,24,Male,Specialized,Merit-based,Yes,Yes,Walk,19,53.91,99,17,78,Yes,17
S01260,19,Female,Private,Athletic,No,Yes,Bike,32,92.8,1,97,87,Yes,22
S01261,23,Female,Specialized,Merit-based,No,No,Walk,1,59.89,33,82,78,Yes,21
S01262,19,Female,Private,Merit-based,No,No,Other,38,68.13,68,41,9,Yes,24
S01263,23,Male,Public,Merit-based,No,Yes,Car,36,65.99,65,52,4,No,43
S01264,23,Female,Public,Merit-based,Yes,Yes,Walk,25,66.86,61,32,85,Yes,24
S01265,22,Female,Private,Merit-based,No,No,Bike,1,95.93,46,20,36,Yes,99
S01266,19,Female,Public,Merit-based,Yes,Yes,Car,2,72.08,97,70,30,Yes,20
S01267,23,Female,Specialized,Athletic,Yes,Yes,Other,19,63.4,1,59,22,Yes,28
S01268,20,Male,Public,Athletic,Yes,No,Other,9,64.72,83,13,10,Yes,59
S01269,21,Female,Public,None,No,Yes,Other,20,90.17,71,32,73,Yes,7
S01270,18,Male,Specialized,Athletic,No,Yes,Bike,39,76.96,86,3,98,Yes,4
S01271,18,Female,Public,Need-based,Yes,No,Car,8,72.47,36,42,21,No,65
S01272,22,Male,Public,None,Yes,No,Other,1,96.34,79,1,85,No,51
S01273,19,Male,Private,Athletic,No,No,Walk,27,96.5,85,39,36,No,22
S01274,19,Male,Specialized,Need-based,Yes,No,Car,2,87.81,62,49,26,Yes,1
S01275,23,Female,Specialized,Athletic,Yes,Yes,Other,15,75.9,55,94,0,No,85
S01276,24,Male,Private,Merit-based,No,Yes,Car,3,55.83,45,62,62,No,84
S01277,17,Female,Private,None,No,Yes,Walk,22,85.4,62,48,4,Yes,48
S01278,23,Female,Public,Merit-based,Yes,Yes,Bus,29,90.76,7,93,10,No,80
S01279,21,Female,Public,None,Yes,Yes,Other,37,92.6,54,63,96,No,39
S01280,20,Female,Public,None,No,No,Walk,12,79.09,42,49,79,Yes,60
S01281,18,Female,Private,Merit-based,No,Yes,Bike,5,80.84,89,9,39,Yes,30
S01282,23,Male,Specialized,None,No,Yes,Other,9,85.46,22,84,93,No,88
S01283,17,Female,Public,None,Yes,No,Bus,16,93.7,15,22,27,Yes,6
S01284,17,Male,Private,Athletic,No,Yes,Walk,7,52.27,84,36,28,No,24
S01285,23,Male,Specialized,Need-based,Yes,Yes,Walk,8,78.16,51,71,15,No,81
S01286,22,Male,Private,Merit-based,Yes,No,Car,33,68.45,92,9,0,No,95
S01287,18,Male,Public,Athletic,No,No,Other,16,91.66,53,24,62,No,57
S01288,22,Male,Private,Athletic,No,Yes,Bus,21,56.69,83,32,71,Yes,60
S01289,20,Male,Private,Merit-based,No,No,Bike,2,95.49,75,16,3,Yes,71
S01290,17,Male,Private,None,No,Yes,Car,39,56.2,36,23,50,No,13
S01291,17,Female,Private,Merit-based,Yes,Yes,Other,28,54.47,89,48,99,Yes,5
S01292,21,Male,Specialized,Need-based,Yes,No,Bus,38,67.32,66,29,60,Yes,22
S01293,20,Female,Public,Need-based,Yes,Yes,Car,26,99.74,17,64,81,No,78
S01294,17,Male,Specialized,Merit-based,Yes,No,Bus,38,81.69,58,80,82,Yes,85
S01295,20,Male,Private,Athletic,No,No,Bus,39,51.32,0,27,99,No,35
S01296,18,Male,Private,Merit-based,Yes,Yes,Car,36,62.46,18,12,72,No,66
S01297,19,Male,Public,Need-based,No,Yes,Car,2,57.46,12,56,25,Yes,44
S01298,17,Female,Public,Merit-based,No,No,Other,18,50.05,32,59,1,Yes,43
S01299,21,Female,Specialized,None,Yes,No,Car,33,75.75,93,9,66,Yes,8
S01300,18,Female,Specialized,Merit-based,Yes,No,Other,13,69.06,21,64,91,No,68
S01301,23,Male,Public,Athletic,Yes,No,Bus,20,80.66,26,83,44,Yes,11
S01302,20,Male,Specialized,None,Yes,Yes,Car,1,60.82,49,6,59,No,92
S01303,23,Male,Private,Need-based,Yes,No,Other,9,91.55,76,59,19,No,64
S01304,22,Female,Private,Merit-based,No,Yes,Other,16,69.16,71,62,18,No,96
S01305,18,Male,Public,Athletic,No,No,Bike,1,74.15,52,95,82,Yes,55
S01306,23,Female,Specialized,Athletic,Yes,No,Other,26,86.62,59,84,36,Yes,20
S01307,24,Female,Private,Need-based,Yes,Yes,Other,0,58.31,49,25,14,No,61
S01308,24,Male,Public,Merit-based,Yes,Yes,Bike,35,63.12,65,70,69,No,20
S01309,17,Male,Specialized,Athletic,Yes,No,Walk,32,57.74,82,37,64,Yes,90
S01310,20,Female,Private,None,Yes,Yes,Car,21,88.4,23,53,12,Yes,1
S01311,19,Female,Specialized,Merit-based,Yes,Yes,Bike,34,54.88,68,44,55,Yes,7
S01312,18,Female,Specialized,Need-based,No,Yes,Other,33,74.45,7,57,56,No,11
S01313,17,Male,Specialized,None,No,Yes,Other,17,87.5,19,40,2,Yes,21
S01314,21,Male,Public,Merit-based,Yes,No,Car,35,75.39,98,44,44,Yes,48
S01315,22,Male,Private,Athletic,Yes,Yes,Bus,2,75.43,65,90,71,Yes,8
S01316,20,Male,Public,Need-based,No,No,Bike,15,53.18,69,33,86,No,43
S01317,18,Male,Private,Need-based,Yes,No,Walk,10,89.14,58,75,27,Yes,37
S01318,24,Male,Private,Merit-based,Yes,No,Car,9,80.2,79,75,32,No,92
S01319,18,Female,Public,Need-based,Yes,No,Car,20,83.38,46,57,97,Yes,2
S01320,19,Female,Public,None,No,Yes,Bike,24,88.29,35,78,97,Yes,85
S01321,24,Female,Private,Merit-based,Yes,No,Other,34,78.03,1,83,24,Yes,67
S01322,19,Male,Private,None,No,No,Other,5,75.43,63,9,61,Yes,92
S01323,21,Female,Private,Need-based,Yes,Yes,Walk,7,83.16,77,89,64,Yes,76
S01324,22,Male,Specialized,Need-based,Yes,Yes,Bike,33,95.0,37,16,70,Yes,87
S01325,21,Male,Private,Need-based,No,Yes,Car,0,81.92,25,73,37,No,1
S01326,17,Female,Public,None,Yes,No,Bike,2,89.42,19,60,27,Yes,2
S01327,17,Male,Public,Need-based,No,Yes,Bus,37,74.01,92,10,80,No,14
S01328,21,Female,Public,Merit-based,No,No,Car,26,79.48,3,16,29,Yes,87
S01329,22,Female,Private,Athletic,Yes,No,Walk,12,59.01,83,74,0,Yes,49
S01330,21,Male,Private,Merit-based,No,No,Walk,18,74.43,87,14,91,No,25
S01331,22,Female,Specialized,Athletic,No,Yes,Car,18,57.44,64,3,99,Yes,7
S01332,22,Female,Specialized,Need-based,Yes,No,Other,5,73.35,88,88,17,No,52
S01333,23,Female,Public,Merit-based,Yes,No,Car,13,53.25,13,99,1,No,4
S01334,24,Female,Specialized,None,Yes,Yes,Car,4,78.81,34,52,96,No,71
S01335,20,Male,Specialized,Athletic,No,No,Bus,35,64.34,84,46,70,No,45
S01336,22,Female,Public,None,Yes,Yes,Car,8,92.08,99,94,58,Yes,38
S01337,19,Female,Private,Athletic,Yes,Yes,Bike,22,68.81,51,45,49,No,31
S01338,22,Female,Specialized,Need-based,Yes,Yes,Bike,31,95.89,22,28,17,Yes,94
S01339,22,Male,Private,Merit-based,Yes,Yes,Walk,28,73.64,19,30,6,No,59
S01340,22,Female,Public,Athletic,No,Yes,Other,27,92.44,89,72,60,No,71
S01341,23,Male,Public,Merit-based,Yes,Yes,Walk,39,64.86,26,47,67,Yes,16
S01342,24,Female,Specialized,Athletic,Yes,No,Bus,10,72.58,40,55,16,No,22
S01343,23,Female,Public,Athletic,Yes,Yes,Car,18,81.68,77,64,82,Yes,76
S01344,17,Female,Public,Need-based,Yes,No,Walk,0,62.93,35,2,68,No,56
S01345,23,Male,Public,Athletic,Yes,No,Car,8,82.87,3,3,54,Yes,43
S01346,19,Male,Specialized,None,No,No,Walk,1,64.43,25,18,12,Yes,78
S01347,19,Male,Specialized,Athletic,Yes,No,Car,3,74.21,39,40,75,No,44
S01348,23,Male,Specialized,Athletic,Yes,Yes,Walk,28,51.17,79,21,67,No,91
S01349,24,Male,Public,Athletic,No,No,Bike,3,53.91,83,71,88,Yes,47
S01350,21,Male,Private,Need-based,Yes,Yes,Bus,0,61.36,87,24,94,No,93
S01351,20,Female,Public,Merit-based,No,No,Walk,27,90.32,73,3,39,Yes,14
S01352,24,Male,Specialized,Merit-based,No,Yes,Bike,17,83.02,65,52,14,No,37
S01353,23,Female,Private,Need-based,No,Yes,Other,12,94.67,72,50,27,Yes,7
S01354,22,Male,Private,None,No,No,Walk,39,95.24,81,77,56,No,45
S01355,18,Male,Specialized,None,Yes,Yes,Car,5,68.73,93,4,63,No,78
S01356,20,Male,Private,Need-based,Yes,Yes,Bus,38,68.38,2,49,74,No,38
S01357,20,Female,Private,Merit-based,No,Yes,Bike,21,91.79,63,49,92,Yes,50
S01358,19,Male,Specialized,None,No,Yes,Bike,29,71.32,28,58,4,Yes,33
S01359,20,Male,Private,Need-based,No,No,Bus,26,92.86,53,92,61,Yes,35
S01360,23,Female,Private,Merit-based,No,No,Walk,7,75.3,6,20,41,No,19
S01361,22,Female,Specialized,None,No,No,Car,27,71.24,24,78,65,Yes,12
S01362,22,Female,Private,None,Yes,No,Other,1,63.95,23,22,19,Yes,43
S01363,17,Female,Private,Need-based,No,Yes,Walk,19,56.32,42,80,85,No,44
S01364,22,Male,Private,Merit-based,Yes,No,Bus,10,76.3,5,2,39,No,46
S01365,24,Female,Private,None,No,No,Walk,13,66.26,14,96,26,Yes,20
S01366,22,Male,Specialized,Need-based,No,Yes,Walk,23,62.47,78,49,20,Yes,22
S01367,19,Male,Public,None,Yes,Yes,Bus,12,58.48,39,53,19,Yes,45
S01368,22,Female,Public,Merit-based,No,No,Bus,7,69.43,90,90,31,Yes,2
S01369,17,Male,Private,Athletic,Yes,No,Other,20,77.79,60,15,53,No,85
S01370,18,Female,Specialized,None,Yes,No,Bus,21,91.85,20,5,35,Yes,92
S01371,23,Male,Specialized,Merit-based,No,Yes,Bus,8,91.01,57,40,57,Yes,39
S01372,19,Female,Private,None,No,No,Bus,10,92.75,95,53,66,Yes,93
S01373,24,Female,Public,Athletic,Yes,Yes,Bike,15,78.81,31,9,71,Yes,63
S01374,18,Female,Private,Athletic,Yes,Yes,Bus,8,77.98,11,28,29,No,87
S01375,19,Female,Specialized,None,No,No,Bus,2,95.26,8,58,67,No,88
S01376,21,Female,Specialized,Need-based,Yes,Yes,Bus,35,64.43,19,80,6,No,75
S01377,20,Female,Public,None,No,Yes,Other,12,57.27,14,45,23,Yes,49
S01378,21,Male,Specialized,Merit-based,No,No,Walk,0,54.14,76,77,8,Yes,19
S01379,22,Male,Specialized,Need-based,No,Yes,Bus,10,94.05,7,11,33,Yes,96
S01380,18,Male,Specialized,Merit-based,Yes,Yes,Bus,23,68.59,20,28,98,Yes,38
S01381,22,Female,Public,Merit-based,No,Yes,Other,4,74.94,44,77,72,Yes,21
S01382,20,Male,Specialized,Need-based,Yes,No,Walk,1,90.15,88,71,54,No,45
S01383,19,Female,Private,Athletic,Yes,Yes,Other,16,68.66,98,48,78,No,82
S01384,20,Male,Public,Merit-based,No,Yes,Car,16,93.4,39,39,11,No,31
S01385,17,Male,Private,None,Yes,Yes,Car,19,66.08,93,80,57,Yes,25
S01386,20,Female,Private,Athletic,Yes,No,Car,14,86.62,94,42,58,Yes,43
S01387,17,Male,Public,Athletic,Yes,No,Bus,3,83.37,5,86,67,Yes,70
S01388,20,Male,Private,Need-based,Yes,No,Other,10,60.07,10,6,16,Yes,7
S01389,23,Male,Public,None,Yes,No,Bus,22,56.22,63,11,72,No,60
S01390,17,Female,Private,None,No,No,Car,0,55.58,41,79,94,No,10
S01391,18,Male,Public,Athletic,No,No,Walk,3,82.55,58,12,29,Yes,58
S01392,22,Female,Specialized,Merit-based,Yes,No,Walk,37,50.65,7,60,62,Yes,15
S01393,24,Male,Specialized,Merit-based,No,Yes,Other,1,83.03,71,46,61,No,72
S01394,22,Male,Private,None,No,Yes,Walk,26,89.1,54,18,61,No,67
S01395,21,Male,Specialized,Athletic,No,No,Car,33,65.13,38,2,17,Yes,74
S01396,22,Male,Public,Athletic,Yes,No,Other,12,87.29,50,71,20,No,9
S01397,19,Female,Private,Athletic,Yes,No,Other,17,58.27,54,39,80,Yes,58
S01398,23,Male,Specialized,Need-based,No,Yes,Car,10,98.02,75,11,34,Yes,52
S01399,20,Female,Specialized,None,No,Yes,Car,4,61.6,2,30,16,Yes,92
S01400,21,Female,Private,None,No,Yes,Car,28,74.42,42,34,80,No,40
S01401,19,Male,Specialized,Merit-based,Yes,Yes,Car,24,99.02,44,83,88,No,4
S01402,19,Male,Specialized,Merit-based,Yes,No,Other,13,95.36,79,91,53,No,2
S01403,17,Female,Private,None,No,Yes,Walk,37,82.97,90,65,76,No,76
S01404,22,Female,Specialized,None,Yes,Yes,Car,36,68.46,15,26,23,No,79
S01405,18,Male,Specialized,Merit-based,Yes,Yes,Bike,10,85.0,4,2,14,Yes,71
S01406,24,Male,Specialized,None,Yes,No,Other,31,73.01,39,47,84,No,27
S01407,18,Male,Specialized,Merit-based,No,No,Bus,5,55.44,75,20,75,Yes,23
S01408,21,Male,Private,None,Yes,No,Walk,5,89.8,66,51,13,Yes,37
S01409,23,Male,Public,Need-based,Yes,Yes,Other,21,93.58,98,6,46,Yes,65
S01410,18,Female,Public,Need-based,No,Yes,Car,2,70.38,44,50,91,Yes,61
S01411,20,Male,Specialized,Athletic,No,Yes,Bike,18,83.29,2,96,88,Yes,5
S01412,18,Male,Specialized,None,No,No,Bus,33,51.52,30,44,91,Yes,18
S01413,21,Female,Public,Merit-based,Yes,No,Walk,6,59.86,23,45,30,Yes,17
S01414,24,Male,Specialized,None,Yes,Yes,Car,15,78.51,28,32,99,Yes,61
S01415,18,Male,Public,None,Yes,Yes,Other,37,63.7,54,35,79,Yes,37
S01416,20,Female,Private,Athletic,Yes,No,Other,8,97.22,32,16,57,Yes,87
S01417,17,Male,Private,Merit-based,Yes,Yes,Walk,12,91.85,50,5,39,Yes,38
S01418,23,Female,Private,None,Yes,Yes,Bike,33,82.75,79,20,61,No,19
S01419,21,Male,Private,Merit-based,No,Yes,Car,36,99.94,96,37,53,Yes,87
S01420,17,Male,Private,None,Yes,No,Walk,5,62.16,73,33,59,Yes,55
S01421,17,Male,Private,Athletic,Yes,No,Walk,37,95.96,29,48,92,Yes,54
S01422,17,Female,Public,Merit-based,No,No,Other,3,65.23,97,60,10,No,1
S01423,19,Female,Specialized,None,No,No,Walk,4,79.83,60,57,25,Yes,99
S01424,23,Female,Public,Need-based,Yes,No,Bus,5,71.72,59,75,26,Yes,15
S01425,24,Female,Private,Merit-based,Yes,No,Bus,12,72.16,34,11,29,No,98
S01426,22,Male,Specialized,Athletic,No,No,Car,23,88.13,6,17,52,No,6
S01427,23,Female,Specialized,Need-based,Yes,No,Walk,27,67.38,5,61,36,Yes,59
S01428,19,Female,Private,Merit-based,No,No,Other,12,75.38,14,5,2,Yes,29
S01429,22,Female,Private,Merit-based,No,Yes,Car,17,60.59,95,76,73,Yes,34
S01430,23,Male,Private,Merit-based,Yes,Yes,Bike,6,88.17,65,94,95,Yes,38
S01431,17,Male,Private,Merit-based,No,Yes,Other,3,77.6,95,88,68,No,42
S01432,21,Female,Private,None,Yes,Yes,Bike,30,62.75,91,47,8,Yes,15
S01433,22,Female,Private,None,No,No,Car,23,63.3,84,87,25,Yes,15
S01434,20,Male,Specialized,Merit-based,No,Yes,Bus,21,64.68,16,10,34,No,23
S01435,20,Female,Private,Athletic,No,Yes,Other,20,84.96,18,32,68,No,13
S01436,18,Female,Private,None,Yes,Yes,Other,25,79.75,13,20,79,Yes,15
S01437,22,Female,Specialized,Merit-based,Yes,No,Car,29,91.11,48,23,76,No,31
S01438,21,Female,Public,Merit-based,Yes,Yes,Other,34,78.58,50,54,93,Yes,51
S01439,24,Male,Private,Athletic,Yes,Yes,Other,22,65.33,33,48,10,Yes,70
S01440,19,Male,Specialized,Athletic,Yes,Yes,Car,39,98.14,83,83,29,Yes,88
S01441,17,Male,Specialized,Athletic,Yes,No,Walk,29,94.31,20,8,20,Yes,86
S01442,18,Female,Public,Need-based,No,Yes,Car,18,63.94,47,94,3,Yes,1
S01443,20,Female,Private,Merit-based,No,No,Other,31,95.63,66,91,16,Yes,72
S01444,19,Male,Private,Athletic,Yes,No,Car,18,86.01,57,37,96,Yes,31
S01445,19,Male,Private,Merit-based,Yes,Yes,Other,21,70.73,77,4,59,No,42
S01446,17,Male,Specialized,None,Yes,No,Bike,3,73.34,20,40,30,Yes,85
S01447,24,Female,Private,Merit-based,No,No,Bike,11,72.32,26,33,5,Yes,17
S01448,24,Male,Private,Merit-based,Yes,Yes,Bus,14,89.84,70,73,96,No,41
S01449,22,Female,Private,Need-based,Yes,No,Car,14,58.78,28,95,38,No,62
S01450,20,Female,Private,None,Yes,Yes,Car,9,52.93,8,62,41,Yes,86
S01451,24,Male,Public,None,No,Yes,Bike,18,74.92,78,16,49,Yes,8
S01452,21,Male,Public,Need-based,No,Yes,Bike,7,64.52,43,52,26,No,90
S01453,24,Female,Public,Athletic,No,No,Bike,30,78.2,27,35,88,Yes,97
S01454,19,Male,Private,Athletic,No,Yes,Bus,8,98.91,37,35,82,Yes,8
S01455,17,Male,Private,Merit-based,Yes,Yes,Bus,28,83.57,14,12,1,No,84
S01456,21,Female,Specialized,Need-based,Yes,Yes,Walk,6,97.96,14,19,64,No,16
S01457,22,Female,Specialized,Athletic,Yes,No,Car,7,86.6,29,50,13,No,4
S01458,20,Female,Specialized,None,No,Yes,Bus,16,53.8,31,82,14,No,13
S01459,22,Female,Private,Need-based,Yes,No,Other,14,94.47,39,85,50,Yes,81
S01460,19,Female,Public,Athletic,No,No,Car,15,59.95,75,15,21,No,23
S01461,21,Male,Public,None,Yes,Yes,Walk,6,93.24,83,5,57,No,72
S01462,21,Female,Public,Need-based,Yes,No,Bike,18,87.45,90,74,80,No,30
S01463,21,Female,Private,Merit-based,Yes,Yes,Walk,37,91.93,1,9,61,Yes,84
S01464,19,Female,Public,Merit-based,Yes,No,Car,24,62.68,21,30,49,No,98
S01465,19,Male,Specialized,None,No,Yes,Bike,11,90.37,25,17,40,No,62
S01466,22,Female,Specialized,Athletic,No,Yes,Walk,31,80.52,39,95,31,Yes,25
S01467,18,Female,Public,Athletic,No,No,Walk,9,54.09,7,40,32,No,16
S01468,22,Female,Specialized,Need-based,Yes,Yes,Car,23,94.46,35,46,64,No,3
S01469,20,Male,Public,None,No,Yes,Bus,3,93.84,25,23,40,Yes,6
S01470,17,Female,Public,Athletic,Yes,No,Other,36,78.6,80,79,82,No,2
S01471,21,Female,Specialized,Merit-based,Yes,No,Walk,38,72.63,6,92,58,Yes,40
S01472,18,Female,Specialized,None,Yes,No,Other,3,70.03,0,88,98,Yes,94
S01473,17,Male,Specialized,Merit-based,Yes,No,Car,35,80.14,90,88,57,No,20
S01474,18,Male,Specialized,None,Yes,No,Car,36,92.08,89,39,3,Yes,59
S01475,24,Male,Public,Need-based,No,Yes,Bus,24,78.3,31,44,74,No,77
S01476,24,Male,Specialized,Athletic,No,Yes,Bike,29,56.48,77,82,2,No,43
S01477,23,Female,Specialized,Athletic,Yes,Yes,Other,0,65.31,82,73,65,Yes,90
S01478,24,Female,Private,Athletic,Yes,No,Walk,28,83.41,8,0,35,Yes,37
S01479,22,Male,Specialized,Merit-based,No,No,Bike,15,82.34,58,26,22,Yes,22
S01480,24,Male,Specialized,Athletic,Yes,Yes,Other,36,75.94,43,21,10,Yes,73
S01481,19,Female,Public,None,No,No,Other,36,62.02,64,27,34,No,60
S01482,21,Female,Public,Merit-based,Yes,Yes,Bike,6,63.53,20,47,28,Yes,20
S01483,22,Male,Private,Need-based,No,Yes,Bike,39,74.21,19,34,60,No,2
S01484,17,Male,Specialized,Merit-based,Yes,No,Bus,32,69.72,48,2,61,No,47
S01485,23,Male,Specialized,Need-based,No,No,Walk,21,65.8,96,37,6,No,10
S01486,23,Male,Specialized,Merit-based,Yes,No,Walk,26,91.47,32,89,18,No,12
S01487,23,Female,Specialized,Athletic,Yes,No,Walk,28,75.2,17,43,69,Yes,8
S01488,17,Male,Specialized,Need-based,Yes,No,Bike,15,75.15,40,4,88,Yes,78
S01489,17,Male,Specialized,Athletic,Yes,No,Bus,20,71.4,16,73,79,Yes,50
S01490,17,Female,Private,Merit-based,Yes,Yes,Car,10,84.05,12,6,61,No,65
S01491,17,Female,Specialized,Need-based,No,No,Bus,20,58.78,42,93,22,No,87
S01492,23,Female,Specialized,None,Yes,Yes,Bike,8,97.18,72,88,52,No,76
S01493,23,Female,Specialized,None,Yes,Yes,Bus,26,55.23,64,41,10,No,87
S01494,18,Female,Private,Merit-based,Yes,Yes,Bike,38,85.51,22,97,96,No,22
S01495,22,Male,Specialized,Need-based,Yes,No,Other,21,85.22,39,56,71,No,33
S01496,21,Male,Private,None,No,Yes,Other,14,55.7,33,84,99,No,66
S01497,24,Male,Public,Athletic,No,No,Car,22,99.65,35,28,88,No,77
S01498,24,Female,Specialized,Athletic,No,No,Other,28,51.72,49,80,34,Yes,25
S01499,19,Male,Private,Merit-based,Yes,No,Car,38,68.23,77,62,12,Yes,60
S01500,23,Female,Public,Athletic,Yes,No,Walk,15,71.24,84,35,69,No,64
S01501,19,Male,Private,Athletic,Yes,No,Bike,2,90.14,84,39,98,No,92
S01502,22,Male,Private,Athletic,Yes,Yes,Walk,15,51.49,91,20,60,No,11
S01503,22,Female,Public,None,Yes,No,Walk,7,77.85,95,97,38,Yes,4
S01504,19,Female,Specialized,Need-based,No,Yes,Car,25,60.2,29,52,67,No,59
S01505,23,Male,Specialized,Merit-based,No,No,Bike,8,78.63,39,15,42,No,50
S01506,19,Male,Private,Need-based,No,No,Car,34,82.32,11,45,41,No,51
S01507,24,Male,Public,Need-based,Yes,No,Bus,6,51.71,92,8,15,Yes,54
S01508,18,Male,Specialized,Need-based,No,Yes,Walk,7,53.37,0,2,10,Yes,70
S01509,24,Male,Private,None,No,Yes,Bike,34,54.26,89,22,87,No,98
S01510,20,Female,Public,Athletic,Yes,Yes,Walk,38,92.61,15,12,77,Yes,70
S01511,23,Female,Private,Merit-based,No,Yes,Bus,35,96.33,81,37,62,Yes,46
S01512,23,Female,Public,Need-based,Yes,No,Bus,5,71.89,96,33,71,No,88
S01513,21,Female,Specialized,Athletic,Yes,No,Bike,6,93.74,49,93,93,No,95
S01514,17,Male,Specialized,None,Yes,Yes,Bike,11,73.81,42,25,30,No,27
S01515,20,Male,Private,Need-based,Yes,Yes,Bus,38,70.06,86,31,69,No,42
S01516,22,Female,Specialized,Athletic,Yes,Yes,Walk,0,76.56,59,19,23,No,89
S01517,23,Male,Specialized,None,No,Yes,Other,24,89.51,4,45,54,No,56
S01518,19,Female,Public,Athletic,Yes,No,Walk,11,61.19,20,54,0,No,73
S01519,20,Male,Specialized,Merit-based,Yes,No,Other,26,65.09,64,8,37,Yes,96
S01520,21,Male,Public,Athletic,No,No,Car,22,92.44,94,50,55,Yes,72
S01521,22,Male,Public,Athletic,Yes,Yes,Bike,18,95.8,81,56,45,No,34
S01522,17,Female,Private,Merit-based,Yes,Yes,Bus,20,56.15,20,79,84,No,69
S01523,17,Female,Public,Merit-based,No,No,Car,20,85.25,70,44,5,No,17
S01524,21,Female,Specialized,Athletic,No,Yes,Walk,23,50.48,64,37,78,No,67
S01525,21,Female,Public,Merit-based,Yes,Yes,Other,12,62.31,22,67,31,Yes,82
S01526,19,Male,Public,Athletic,No,Yes,Bike,35,53.43,90,11,81,Yes,69
S01527,23,Male,Private,Need-based,Yes,No,Other,14,75.77,59,89,95,No,96
S01528,17,Male,Specialized,Athletic,No,Yes,Walk,0,67.17,1,9,11,No,67
S01529,22,Male,Specialized,None,No,No,Walk,33,56.88,33,79,74,No,96
S01530,20,Female,Specialized,Merit-based,Yes,Yes,Bus,30,50.02,56,64,33,Yes,48
S01531,22,Male,Public,Need-based,Yes,Yes,Car,31,69.42,15,11,65,No,3
S01532,18,Male,Specialized,Merit-based,Yes,No,Bike,35,64.72,73,51,43,No,84
S01533,18,Male,Specialized,Merit-based,No,No,Bus,28,52.33,83,50,85,Yes,27
S01534,21,Female,Public,Merit-based,No,No,Other,9,92.59,47,85,20,No,63
S01535,19,Female,Private,None,No,No,Car,20,70.54,24,63,69,No,6
S01536,18,Female,Private,None,Yes,Yes,Bike,35,88.74,67,56,5,Yes,71
S01537,17,Male,Public,Athletic,No,Yes,Other,23,71.1,31,92,11,Yes,98
S01538,22,Female,Private,None,Yes,No,Bike,26,53.38,44,18,3,Yes,11
S01539,22,Male,Private,Merit-based,Yes,No,Bike,20,69.71,91,29,6,Yes,82
S01540,21,Male,Private,Need-based,No,Yes,Car,17,94.31,39,91,75,Yes,41
S01541,23,Male,Specialized,Need-based,No,Yes,Other,3,50.39,12,84,93,No,37
S01542,23,Female,Private,Need-based,No,Yes,Bus,17,94.77,4,81,72,No,17
S01543,20,Female,Specialized,Merit-based,No,No,Bus,8,82.84,16,23,6,Yes,27
S01544,21,Male,Private,None,No,No,Bus,29,99.78,70,25,46,Yes,63
S01545,24,Male,Specialized,Need-based,Yes,Yes,Bike,34,95.81,9,35,21,Yes,37
S01546,20,Female,Public,Merit-based,No,No,Walk,29,93.45,90,55,26,Yes,95
S01547,24,Female,Public,Merit-based,Yes,Yes,Car,38,51.88,58,79,98,Yes,58
S01548,23,Female,Private,Need-based,No,No,Bus,5,64.01,34,57,37,No,93
S01549,21,Male,Specialized,Need-based,No,No,Car,13,68.74,22,31,87,No,31
S01550,24,Male,Public,Athletic,Yes,Yes,Bike,28,84.99,55,1,13,Yes,85
S01551,21,Male,Public,Athletic,No,Yes,Car,31,82.43,15,72,39,Yes,49
S01552,21,Female,Public,Merit-based,No,No,Bus,13,58.58,51,81,99,Yes,68
S01553,23,Female,Public,Athletic,Yes,Yes,Bus,19,86.84,26,48,76,No,70
S01554,20,Female,Private,Athletic,Yes,No,Bike,8,57.78,14,45,49,No,72
S01555,20,Male,Specialized,Need-based,No,Yes,Bike,11,72.82,61,82,74,No,2
S01556,21,Male,Public,Athletic,No,Yes,Other,13,78.94,5,54,31,No,54
S01557,18,Female,Private,Merit-based,No,No,Bike,22,93.53,23,11,68,No,18
S01558,19,Male,Public,Need-based,Yes,Yes,Walk,33,81.57,86,76,80,No,17
S01559,23,Female,Public,Athletic,No,No,Walk,15,97.74,4,62,65,No,29
S01560,19,Male,Public,Athletic,No,No,Bus,17,99.72,70,34,95,No,51
S01561,19,Female,Public,Athletic,No,No,Bike,39,75.44,85,73,86,No,71
S01562,20,Male,Private,None,Yes,No,Walk,32,52.57,92,21,4,Yes,28
S01563,20,Male,Specialized,Athletic,No,Yes,Walk,4,51.42,52,9,39,No,16
S01564,18,Female,Private,Athletic,Yes,No,Other,38,92.78,30,49,37,No,18
S01565,19,Female,Private,Merit-based,Yes,No,Bike,9,74.99,34,34,71,Yes,55
S01566,19,Female,Private,Athletic,Yes,No,Other,21,68.34,97,15,90,Yes,13
S01567,21,Female,Public,None,Yes,Yes,Car,32,64.22,18,35,61,Yes,15
S01568,20,Female,Specialized,Need-based,Yes,No,Other,30,64.09,33,60,1,No,62
